ID,Data Point,Column Name,Category,ACS Variable
56,Tenure Owner Occupied 75 to 84,tenure_owner_75to84,Tenure,B25007_010E
57,Tenure Owner Occupied 85+,tenure_owner_85+,Tenure,B25007_011E
58,Tenure Total Renter Occupied,tenure_allrenteroccupied,Tenure,B25007_012E
59,Tenure Renter Occupied 55 to 59,tenure_renter_55to59,Tenure,B25007_017E
60,Tenure Renter Occupied 60 to 64,tenure_renter_60to64,Tenure,B25007_018E
61,Tenure Renter Occupied 65 to 74,tenure_renter_65to74,Tenure,B25007_019E
62,Tenure Renter Occupied 75 to 84,tenure_renter_75to84,Tenure,B25007_020E
63,Tenure Renter Occupied 85+,tenure_renter_85+,Tenure,B25007_021E
64,Total Age of Householder by Selected Montly Owner Costs as Percentage of Household Income in Past 12 Months,housing_total_ownercosts,Housing Burden,B25093_001E
65,Housing Cost 65+ Owner Cost Total,housing_65+total_ownercosts,Housing Burden,B25093_023E
66,Housing Cost 65+ Owner Cost 30 to 34.9% of Household Income,housing_65+30to34.9%_ownercosts,Housing Burden,B25093_027E
67,Housing Cost 65+ Owner Cost 35% or More of Household Income,housing_65+35%ormore_ownercosts,Housing Burden,B25093_028E
68,Total Age of Householder by Gross Rent as a Percentage of Household Income in Past 12 Months,housing_total_grossrent,Housing Burden,B25072_001E
69,Housing Cost 65+ Gross Rent Total,housing_65+total_grossrent,Housing Burden,B25072_023E
70,Housing Cost 65+ Gross Rent 30 to 34.9% of Household Income,housing_65+30to34.9%_grossrent,Housing Burden,B25072_027E
71,Housing Cost 65+ Gross Rent 35% or More of Household Income,housing_65+35%ormore_grossrent,Housing Burden,B25072_028E
72,Household Income 65+ Median,hhincome_65+_median,Income,B19049_005E
73,Total Household Income Householder 65+ Series,hhincome_totalhh65+_series,Income,B19037_053E
74,"Household Income 65+ Less than $10,000",hhincome_65+_lessthan10000,Income,B19037_054E
75,"Household Income 65+ $10,000 to $14,999",hhincome_65+_10000to14999,Income,B19037_055E
76,"Household Income 65+ $15,000 to $19,999",hhincome_65+_15000to19999,Income,B19037_056E
77,"Household Income 65+ $20,000 to $24,999",hhincome_65+_20000to24999,Income,B19037_057E
78,"Household Income 65+ $25,000 to $29,999",hhincome_65+_25000to29999,Income,B19037_058E
79,"Household Income 65+ $30,000 to $34,999",hhincome_65+_30000to34999,Income,B19037_059E
80,"Household Income 65+ $35,000 to $39,999",hhincome_65+_35000to39999,Income,B19037_060E
81,"Household Income 65+ $40,000 to $44,999",hhincome_65+_40000to44999,Income,B19037_061E
82,"Household Income 65+ $45,000 to $49,999",hhincome_65+_45000to49999,Income,B19037_062E
83,"Household Income 65+ $50,000 to $55,999",hhincome_65+_50000to55999,Income,B19037_063E
84,"Household Income 65+ $60,000 to $74,999",hhincome_65+_60000to74999,Income,B19037_064E
85,"Household Income 65+ $75,000 to $99,999",hhincome_65+_75000to99999,Income,B19037_065E
86,"Household Income 65+ $100,000 to $124,999",hhincome_65+_100000to124999,Income,B19037_066E
87,"Household Income 65+ $125,000 to $149,999",hhincome_65+_125000to149999,Income,B19037_067E
88,"Household Income 65+ $150,000 to $199,999",hhincome_65+_150000to199999,Income,B19037_068E
89,"Household Income 65+ $200,000 or More",hhincome_65+_200000+,Income,B19037_069E
90,Total Poverty in the Past 12 Months by Sex by Age Series,poverty_total_series,Poverty,B17001_001E
91,Poverty in the Past 12 Months by Sex by Age Total Below Poverty Level Series,poverty_totalbelowpoverty,Poverty,B17001_002E
92,Below Poverty Level Male 65 to 74,poverty_m65to74,Poverty,B17001_015E
93,Below Poverty Level Male 75+,poverty_m75+,Poverty,B17001_016E
94,Below Poverty Level Female 65 to 74,poverty_f65to74,Poverty,B17001_029E
95,Below Poverty Level Female 75+,poverty_f75+,Poverty,B17001_030E
