ID,Data Point,Column Name,Category,ACS Variable
57,Two or More Races Alone,raceeth_twoormoreraces_alone,Population,B01001G_001E
58,White Alone Not Hispanic or Latino,raceeth_whitealone_nothispanicorlatino,Population,B01001H_001E
59,Hispanic or Latino,raceeth_hispanicorlatino,Population,B01001I_001E
60,White Alone Male 55 to 64,raceeth_white_m_55to64,Population,B01001A_013E
61,White Alone Male 65 to 74,raceeth_white_m_65to74,Population,B01001A_014E
62,White Alone Male 75 to 84,raceeth_white_m_75to84,Population,B01001A_015E
63,White Alone Male 85+,raceeth_white_m_85+,Population,B01001A_016E
64,White Alone Female 55 to 64,raceeth_white_f_55to64,Population,B01001A_028E
65,White Alone Female 65 to 74,raceeth_white_f_65to74,Population,B01001A_029E
66,White Alone Female 75 to 84,raceeth_white_f_75to84,Population,B01001A_030E
67,White Alone Female 85+,raceeth_white_f_85+,Population,B01001A_031E
68,Black or African American Alone Male 55 to 64,raceeth_baa_m_55to64,Population,B01001B_013E
69,Black or African American Alone Male 65 to 74,raceeth_baa_m_65to74,Population,B01001B_014E
70,Black or African American Alone Male 75 to 84,raceeth_baa_m_75to84,Population,B01001B_015E
71,Black or African American Alone Male 85+,raceeth_baa_m_85+,Population,B01001B_016E
72,Black or African American Alone Female 55 to 64,raceeth_baa_f_55to64,Population,B01001B_028E
73,Black or African American Alone Female 65 to 74,raceeth_baa_f_65to74,Population,B01001B_029E
74,Black or African American Alone Female 75 to 84,raceeth_baa_f_75to84,Population,B01001B_030E
75,Black or African American Alone Female 85+,raceeth_baa_f_85+,Population,B01001B_031E
76,American Indian and Alaska Native Alone Male 55 to 64,raceeth_amindalaska_m_55to64,Population,B01001C_013E
77,American Indian and Alaska Native Alone Male 65 to 74,raceeth_amindalaska_m_65to74,Population,B01001C_014E
78,American Indian and Alaska Native Alone Male 75 to 84,raceeth_amindalaska_m_75to84,Population,B01001C_015E
79,American Indian and Alaska Native Alone Male 85+,raceeth_amindalaska_m_85+,Population,B01001C_016E
80,American Indian and Alaska Native Alone Female 55 to 64,raceeth_amindalaska_f_55to64,Population,B01001C_028E
81,American Indian and Alaska Native Alone Female 65 to 74,raceeth_amindalaska_f_65to74,Population,B01001C_029E
82,American Indian and Alaska Native Alone Female 75 to 84,raceeth_amindalaska_f_75to84,Population,B01001C_030E
83,American Indian and Alaska Native Alone Female 85+,raceeth_amindalaska_f_85+,Population,B01001C_031E
84,Asian Alone Male 55 to 64,raceeth_asian_m_55to64,Population,B01001D_013E
85,Asian Alone Male 65 to 74,raceeth_asian_m_65to74,Population,B01001D_014E
86,Asian Alone Male 75 to 84,raceeth_asian_m_75to84,Population,B01001D_015E
87,Asian Alone Male 85+,raceeth_asian_m_85+,Population,B01001D_016E
88,Asian Alone Female 55 to 64,raceeth_asian_f_55to64,Population,B01001D_028E
89,Asian Alone Female 65 to 74,raceeth_asian_f_65to74,Population,B01001D_029E
90,Asian Alone Female 75 to 84,raceeth_asian_f_75to84,Population,B01001D_030E
91,Asian Alone Female 85+,raceeth_asian_f_85+,Population,B01001D_031E
92,Native Hawaiian or Pacific Islander Alone Male 55 to 64,raceeth_hawaiianpacisl_m_55to64,Population,B01001E_013E
93,Native Hawaiian or Pacific Islander Alone Male 65 to 74,raceeth_hawaiianpacisl_m_65to74,Population,B01001E_014E
94,Native Hawaiian or Pacific Islander Alone Male 75 to 84,raceeth_hawaiianpacisl_m_75to84,Population,B01001E_015E
95,Native Hawaiian or Pacific Islander Alone Male 85+,raceeth_hawaiianpacisl_m_85+,Population,B01001E_016E
96,Native Hawaiian or Pacific Islander Alone Female 55 to 64,raceeth_hawaiianpacisl_f_55to64,Population,B01001E_028E
97,Native Hawaiian or Pacific Islander Alone Female 65 to 74,raceeth_hawaiianpacisl_f_65to74,Population,B01001E_029E
98,Native Hawaiian or Pacific Islander Alone Female 75 to 84,raceeth_hawaiianpacisl_f_75to84,Population,B01001E_030E
99,Native Hawaiian or Pacific Islander Alone Female 85+,raceeth_hawaiianpacisl_f_85+,Population,B01001E_031E
100,Some Other Race Alone Male 55 to 64,raceeth_someother_m_55to64,Population,B01001F_013E
101,Some Other Race Alone Male 65 to 74,raceeth_someother_m_65to74,Population,B01001F_014E
102,Some Other Race Alone Male 75 to 84,raceeth_someother_m_75to84,Population,B01001F_015E
103,Some Other Race Alone Male 85+,raceeth_someother_m_85+,Population,B01001F_016E
104,Some Other Race Alone Female 55 to 64,raceeth_someother_f_55to64,Population,B01001F_028E
105,Some Other Race Alone Female 65 to 74,raceeth_someother_f_65to74,Population,B01001F_029E
106,Some Other Race Alone Female 75 to 84,raceeth_someother_f_75to84,Population,B01001F_030E
107,Some Other Race Alone Female 85+,raceeth_someother_f_85+,Population,B01001F_031E
108,Two or More Races Male 55 to 64,raceeth_twoormore_m_55to64,Population,B01001G_013E
109,Two or More Races Male 65 to 74,raceeth_twoormore_m_65to74,Population,B01001G_014E
110,Two or More Races Male 75 to 84,raceeth_twoormore_m_75to84,Population,B01001G_015E
111,Two or More Races Male 85+,raceeth_twoormore_m_85+,Population,B01001G_016E
112,Two or More Races Female 55 to 64,raceeth_twoormore_f_55to64,Population,B01001G_028E
113,Two or More Races Female 65 to 74,raceeth_twoormore_f_65to74,Population,B01001G_029E
114,Two or More Races Female 75 to 84,raceeth_twoormore_f_75to84,Population,B01001G_030E
115,Two or More Races Female 85+,raceeth_twoormore_f_85+,Population,B01001G_031E
116,White Alone Not Hispanic or Latino,whitenothisporlatino_total,Population,B01001H_001E
117,White Alone Not Hispanic or Latino Male 55 to 64,whitenothisporlatino_m_55to64,Population,B01001H_013E
118,White Alone Not Hispanic or Latino Male 65 to 74,whitenothisporlatino_m_65to74,Population,B01001H_014E
119,White Alone Not Hispanic or Latino Male 75 to 84,whitenothisporlatino_m_75to84,Population,B01001H_015E
120,White Alone Not Hispanic or Latino Male 85+,whitenothisporlatino_m_85+,Population,B01001H_016E
121,White Alone Not Hispanic or Latino Female 55 to 64,whitenothisporlatino_f_55to64,Population,B01001H_028E
122,White Alone Not Hispanic or Latino Female 65 to 74,whitenothisporlatino_f_65to74,Population,B01001H_029E
123,White Alone Not Hispanic or Latino Female 75 to 84,whitenothisporlatino_f_75to84,Population,B01001H_030E
124,White Alone Not Hispanic or Latino Female 85+,whitenothisporlatino_f_85+,Population,B01001H_031E
125,Hispanic or Latino Male 55 to 64,raceeth_hisplatino_m_55to64,Population,B01001I_013E
126,Hispanic or Latino Male 65 to 74,raceeth_hisplatino_m_65to74,Population,B01001I_014E
127,Hispanic or Latino Male 75 to 84,raceeth_hisplatino_m_75to84,Population,B01001I_015E
128,Hispanic or Latino Male 85+,raceeth_hisplatino_m_85+,Population,B01001I_016E
129,Hispanic or Latino Female 55 to 64,raceeth_hisplatino_f_55to64,Population,B01001I_028E
130,Hispanic or Latino Female 65 to 74,raceeth_hisplatino_f_65to74,Population,B01001I_029E
131,Hispanic or Latino Female 75 to 84,raceeth_hisplatino_f_75to84,Population,B01001I_030E
132,Hispanic or Latino Female 85+,raceeth_hisplatino_f_85+,Population,B01001I_031E
133,Total Household Income Householder 65+ Series,hhincome_totalhh65+_series,Income,B19037_053E
134,"Household Income 65+ Less than $10,000",hhincome_65+_lessthan10000,Income,B19037_054E
135,"Household Income 65+ $10,000 to $14,999",hhincome_65+_10000to14999,Income,B19037_055E
136,"Household Income 65+ $15,000 to $19,999",hhincome_65+_15000to19999,Income,B19037_056E
137,"Household Income 65+ $20,000 to $24,999",hhincome_65+_20000to24999,Income,B19037_057E
138,"Household Income 65+ $25,000 to $29,999",hhincome_65+_25000to29999,Income,B19037_058E
139,"Household Income 65+ $30,000 to $34,999",hhincome_65+_30000to34999,Income,B19037_059E
140,"Household Income 65+ $35,000 to $39,999",hhincome_65+_35000to39999,Income,B19037_060E
141,"Household Income 65+ $40,000 to $44,999",hhincome_65+_40000to44999,Income,B19037_061E
142,"Household Income 65+ $45,000 to $49,999",hhincome_65+_45000to49999,Income,B19037_062E
143,"Household Income 65+ $50,000 to $55,999",hhincome_65+_50000to55999,Income,B19037_063E
144,"Household Income 65+ $60,000 to $74,999",hhincome_65+_60000to74999,Income,B19037_064E
145,"Household Income 65+ $75,000 to $99,999",hhincome_65+_75000to99999,Income,B19037_065E
146,"Household Income 65+ $100,000 to $124,999",hhincome_65+_100000to124999,Income,B19037_066E
147,"Household Income 65+ $125,000 to $149,999",hhincome_65+_125000to149999,Income,B19037_067E
148,"Household Income 65+ $150,000 to $199,999",hhincome_65+_150000to199999,Income,B19037_068E
149,"Household Income 65+ $200,000 or More",hhincome_65+_200000+,Income,B19037_069E
150,Household Income 65+ Median,hhincome_65+_median,Income,B19049_005E
151,Tenure Total Households Series,tenure_total_agehh_series,Tenure,B25007_001E
152,Tenure Total Owner Occupied,tenure_allowneroccupied,Tenure,B25007_002E
153,Tenure Owner Occupied 55 to 59,tenure_owner_55to59,Tenure,B25007_007E
154,Tenure Owner Occupied 60 to 64,tenure_owner_60to64,Tenure,B25007_008E
155,Tenure Owner Occupied 65 to 74,tenure_owner_65to74,Tenure,B25007_009E
156,Tenure Owner Occupied 75 to 84,tenure_owner_75to84,Tenure,B25007_010E
157,Tenure Owner Occupied 85+,tenure_owner_85+,Tenure,B25007_011E
158,Tenure Total Renter Occupied,tenure_allrenteroccupied,Tenure,B25007_012E
159,Tenure Renter Occupied 55 to 59,tenure_renter_55to59,Tenure,B25007_017E
160,Tenure Renter Occupied 60 to 64,tenure_renter_60to64,Tenure,B25007_018E
161,Tenure Renter Occupied 65 to 74,tenure_renter_65to74,Tenure,B25007_019E
162,Tenure Renter Occupied 75 to 84,tenure_renter_75to84,Tenure,B25007_020E
163,Tenure Renter Occupied 85+,tenure_renter_85+,Tenure,B25007_021E
164,Total Household Type for the Population 65 Years and Over Series,livingsituation_total65+_series,Living Situation,B09020_001E
165,Household In Households,livingsituation_total65+_inhh,Living Situation,B09020_001E
166,Household Male Living Alone,livingsituation_m65+_livealone,Living Situation,B09020_015E
167,Household Female Living Alone,livingsituation_f65+_livealone,Living Situation,B09020_018E
168,Household Total Living with Spouse,livingsituation_total65+_spouse,Living Situation,B09020_007E
169,Total Grandparent Living with Grandchildren by Responsibility for Own Grandchildren,grandparent_total_responsibilityforgrandchild_series,Grandchildren,B10051_001E
170,Grandparent Living with Grandchildren Responsible for Own Grandchildren Under 18,grandparent_responsibleforgrandchild,Grandchildren,B10051_002E
171,Grandparent Living with Grandchildren Householder or Spouse with no Parent of Grandchildren Present 60 and Over,grandparent_resposibleforgrandchild_noparent_60+,Grandchildren,B10051_005E
172,Grandparent Living with Grandchildren Householder or Spouse with Other Grandparents Present 60 and Over,grandparent_resposibleforgrandchild_othergrandparent_60+,Grandchildren,B10051_008E
173,Grandparent Living with Grandchildren Householder or Spouse Not Responsible for Own Grandchildren 60 and Over,grandparent_notresposibleforgrandchild_60+,Grandchildren,B10051_011E
174,Total Age of Householder by Selected Montly Owner Costs as Percentage of Household Income in Past 12 Months,housing_total_ownercosts,Housing Burden,B25093_001E
175,Housing Cost 65+ Owner Cost Total,housing_65+total_ownercosts,Housing Burden,B25093_023E
176,Housing Cost 65+ Owner Cost 30 to 34.9% of Household Income,housing_65+30to34.9%_ownercosts,Housing Burden,B25093_027E
177,Housing Cost 65+ Owner Cost 35% or More of Household Income,housing_65+35%ormore_ownercosts,Housing Burden,B25093_028E
178,Total Age of Householder by Gross Rent as a Percentage of Household Income in Past 12 Months,housing_total_grossrent,Housing Burden,B25072_001E
179,Housing Cost 65+ Gross Rent Total,housing_65+total_grossrent,Housing Burden,B25072_023E
180,Housing Cost 65+ Gross Rent 30 to 34.9% of Household Income,housing_65+30to34.9%_grossrent,Housing Burden,B25072_027E
181,Housing Cost 65+ Gross Rent 35% or More of Household Income,housing_65+35%ormore_grossrent,Housing Burden,B25072_028E
182,Foreign Born Population Sex by Age Total Series,foreignborn_total_series,Foreign Born Population,B05013_001E
183,Foreign Born Population Male 55 to 59,foreignborn_m_55to59,Foreign Born Population,B05013_014E
184,Foreign Born Population Male 60 to 64,foreignborn_m_60to64,Foreign Born Population,B05013_015E
185,Foreign Born Population Male 65 to 69,foreignborn_m_65to69,Foreign Born Population,B05013_016E
186,Foreign Born Population Male 70 to 74,foreignborn_m_70to74,Foreign Born Population,B05013_017E
187,Foreign Born Population Male 75 to 79,foreignborn_m_75to79,Foreign Born Population,B05013_018E
188,Foreign Born Population Male 80 to 84,foreignborn_m_80to84,Foreign Born Population,B05013_019E
189,Foreign Born Population Male 85+,foreignborn_m_85+,Foreign Born Population,B05013_020E
190,Foreign Born Population Female 55 to 59,foreignborn_f_55to59,Foreign Born Population,B05013_033E
191,Foreign Born Population Female 60 to 64,foreignborn_f_60to64,Foreign Born Population,B05013_034E
192,Foreign Born Population Female 65 to 69,foreignborn_f_65to69,Foreign Born Population,B05013_035E
193,Foreign Born Population Female 70 to 74,foreignborn_f_70to74,Foreign Born Population,B05013_036E
194,Foreign Born Population Female 75 to 79,foreignborn_f_75to79,Foreign Born Population,B05013_037E
195,Foreign Born Population Female 80 to 84,foreignborn_f_80to84,Foreign Born Population,B05013_038E
196,Foreign Born Population Female 85+,foreignborn_f_85+,Foreign Born Population,B05013_039E
197,Age by Language Spoken at home by Ability to Speak English for the Population 5 Years and Over 65 Years and Over Total,language_65+_total_series,Language,B16004_046E
198,Age by Language Spoken at home by Ability to Speak English 65+ Only English,language_65+_onlyenglish,Language,B16004_046E
199,Age by Language Spoken at home by Ability to Speak English 65+ Spanish,language_65+_spanish,Language,B16004_048E
200,"Age by Language Spoken at home by Ability to Speak English 65+ Spanish and Speak English ""Not Well""",language_65+_spanish_englishnotwell,Language,B16004_051E
201,"Age by Language Spoken at home by Ability to Speak English 65+ Spanish and Speak English ""Not At All""",language_65+_spanish_englishnotatall,Language,B16004_052E
202,Age by Language Spoken at home by Ability to Speak English 65+ Other Indo-European Languages,language_65+_indoeuro,Language,B16004_053E
203,"Age by Language Spoken at home by Ability to Speak English 65+ Other Indo-European Languages and Speak English ""Not Well""",language_65+_indoeuro_englishnotwell,Language,B16004_056E
204,"Age by Language Spoken at home by Ability to Speak English 65+ Other Indo-European Languages and Speak English ""Not At All""",language_65_indoeuro_englishnotatall,Language,B16004_057E
205,Age by Language Spoken at home by Ability to Speak English 65+ Asian and Pacific Islander Languages,language_65+_asianpacificislander,Language,B16004_058E
206,"Age by Language Spoken at home by Ability to Speak English 65+ Asian and Pacific Islander Languages and Speak English ""Not Well""",language_65+_asianpacificislander_englishnotwell,Language,B16004_061E
207,"Age by Language Spoken at home by Ability to Speak English 65+ Asian and Pacific Islander Languages and Speak English ""Not At All""",language_65+_asianpacificislander_englishnotatall,Language,B16004_062E
208,Age by Language Spoken at home by Ability to Speak English 65+ Other Languages,language_65+_other,Language,B16004_063E
209,"Age by Language Spoken at home by Ability to Speak English 65+ Other Languages and Speak English ""Not Well""",language_65+_other_englishnotwell,Language,B16004_066E
210,"Age by Language Spoken at home by Ability to Speak English 65+ Other Languages and Speak English ""Not At All""",language_65+_other_englishnotatall,Language,B16004_067E
211,Poverty Status in the Past 12 Months by Sex by Age Total Series,poverty_sexbyage_total_series,Poverty,B17001_001E
212,Poverty Status Below Level Male 55 to 64,poverty_below_m_55to64,Poverty,B17001_014E
213,Poverty Status Below Level Male 65 to 74,poverty_below_m_65to74,Poverty,B17001_015E
214,Poverty Status Below Level Male 75+,poverty_below_m_75+,Poverty,B17001_016E
215,Poverty Status Below Level Female 55 to 64,poverty_below_f_55to64,Poverty,B17001_028E
216,Poverty Status Below Level Female 65 to 74,poverty_below_f_65to74,Poverty,B17001_029E
217,Poverty Status Below Level Female 75+,poverty_below_f_75+,Poverty,B17001_030E
